MAIOR PILHA, TEMPO
12, 0.0
14, 0.000993
14, 0.0
14, 0.0
14, 0.0
14, 0.001
14, 0.0
14, 0.000998
14, 0.0
14, 0.0
14, 0.00102
14, 0.0
14, 0.0
14, 0.001
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.001
14, 0.0
14, 0.000999
14, 0.0
14, 0.0
14, 0.000997
14, 0.0
14, 0.001
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000998
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000998
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000999
14, 0.000998
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000998
14, 0.0
14, 0.001
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000999
14, 0.0
14, 0.0
14, 0.000998
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000998
14, 0.0
14, 0.0
14, 0.001
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000997
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.001
14, 0.0
14, 0.001
14, 0.0
14, 0.0
14, 0.0
14, 0.000974
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.001
14, 0.000999
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000999
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.000999
14, 0.0
14, 0.000999
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
14, 0.0
