MAIOR PILHA, TEMPO
8, 0.109
8, 0.137
8, 0.186
8, 0.151
8, 0.291
8, 0.163
8, 0.224
9, 0.143
8, 0.153
8, 0.141
8, 0.079
8, 0.0899
9, 0.201
8, 0.109
8, 0.112
8, 0.2
9, 0.134
8, 0.126
7, 0.123
8, 0.124
8, 0.078
8, 0.088
9, 0.156
8, 0.103
8, 0.117
8, 0.248
9, 0.123
8, 0.142
7, 0.11
8, 0.15
